SPG Grade
A
C
C
F
B
C
C
F
C
C
D
C
D
D
D
C
F
F
D
C
C
D
D
D
0
D
B
C
C
C
D
C
C
C
C
B
C
D
C
C
C
C
C
C
C
B
C
B
D
C
0
C
C
D
F
D
D
C
F
D
C
B
C
B
B
C
C
B
B
C
C
C
C
0
A
C
I
B
0
A
D
B
C
D
C
C
D
C
D
C
B
D
D
D
F
F
D
0
B
D
F
C
D
D
C
D
C
D
D
C
D
C
C
C
A
0
C
D
D
C
C
C
C
C
C
D
D
B
C
C
B
0
B
C
C
C
B
A
0
C
B
C
B
C
C
C
D
C
C
B
C
C
D
C
C
B
C
C
C
B
C
C
C
C
B
B
C
B
I
B
D
C
D
C
C
B
B
C
C
B
A
C
0
A
C
C
B
C
C
C
B
C
B
C
C
B
C
0
C
C
C
C
A
B
C
B
C
C
C
B
C
C
B
C
B
D
C
A
C
0
D
B
B
C
B
C
C
C
B
C
D
D
B
C
B
C
B
C
D
D
D
C
B
A
C
C
C
C
C
D
D
C
D
B
B
0
0
B
A
C
C
C
C
C
B
C
B
C
C
C
C
C
C
C
B
D
C
D
C
B
B
C
C
B
B
C
B
0
C
B
B
A
B
C
B
B
C
C
B
B
B
D
C
D
D
C
C
C
C
B
C
C
C
0
C
A
C
C
B
B
C
D
C
C
B
C
B
C
C
B
D
B
B
C
C
B
D
D
C
B
D
C
D
C
C
C
C
C
D
B
C
C
0
D
B
C
C
C
B
C
C
B
B
C
D
B
D
D
C
D
D
B
C
C
0
C
B
C
C
C
B
D
D
C
I
C
B
C
C
B
C
C
B
B
B
C
0
B
D
C
D
C
D
C
B
C
C
C
B
0
C
C
B
C
C
C
B
D
D
C
D
F
C
D
D
F
C
C
C
C
D
C
D
C
C
C
C
0
C
I
C
B
C
B
B
B
D
B
C
C
C
C
B
C
C
D
C
D
D
C
B
C
C
B
C
I
C
C
D
A
D
A
C
D
C
B
D
B
C
D
C
C
D
B
C
D
A
B
C
D
C
C
C
I
C
D
C
C
C
B
C
F
D
C
0
C
B
D
C
C
B
C
B
C
C
D
D
C
C
D
C
C
C
C
B
I
0
D
B
C
C
B
C
C
D
D
C
D
B
I
B
C
D
B
B
0
D
C
D
C
D
B
D
C
C
C
C
B
B
C
C
C
B
C
0
B
B
C
B
C
B
B
B
D
B
C
C
C
0
C
0
A
C
D
C
C
C
B
C
B
C
B
C
B
C
B
C
C
D
C
D
C
C
C
C
C
C
C
D
D
C
C
I
0
C
C
D
D
C
0
D
B
B
A
C
B
C
B
C
C
B
D
D
D
C
D
B
D
C
D
D
C
C
D
D
C
D
D
D
D
A
F
B
C
C
F
D
B
D
C
D
0
B
C
C
C
C
C
F
F
D
C
0
C
D
F
F
C
B
F
A
C
F
C
C
D
D
B
C
D
C
D
D
C
D
F
D
F
D
D
D
D
C
D
F
F
B
D
F
F
F
D
F
C
D
C
D
B
C
B
B
D
B
0
0
B
C
F
A
A
B
D
F
D
D
F
D
D
0
D
B
I
D
B
B
C
C
D
D
0
F
D
A
0
B
B
A
D
C
F
C
B
B
C
D
D
C
D
C
C
F
F
F
B
B
C
C
C
A
C
C
D
B
D
0
C
A
C
D
D
C
B
A
D
F
A
C
C
D
C
B
C
D
C
D
D
C
D
C
D
D
B
C
B
B
D
C
B
I
C
D
D
C
D
B
C
0
C
C
C
B
F
0
B
C
D
C
A
D
D
I
C
C
D
F
C
D
C
D
B
D
B
C
D
C
F
C
D
F
B
D
I
C
D
B
D
D
F
B
C
B
C
C
C
C
C
D
C
D
0
F
D
C
B
D
F
C
C
D
D
C
C
F
C
B
C
C
C
D
B
D
I
D
C
D
C
D
D
D
C
D
D
B
F
D
D
B
C
A
B
C
F
C
C
B
F
F
F
B
D
F
0
C
D
C
A
C
B
A
0
C
F
A
D
B
F
D
C
B
B
D
C
F
D
C
C
C
D
C
C
B
D
C
B
C
D
0
0
D
C
D
C
0
B
D
B
D
D
C
C
B
